name,description,author,title,year,journal
Plant basal tiller number - Counting,Plants were demarcated in the field with a stake for repeated measurements over time. Basal tiller number was counted as the number of tillers with a fully emerged leaf. Sorghum Crop Ontology Identifier CO_324:0000344 http://www.cropontology.org/terms/CO_324:0000344/Plant%20basal%20tiller%20number%20-%20Counting/static-html?language=english,NA,NA,NA,NA
temperature of sunlit leaf with [instrument name],"Leaf surface temperature estimates of an individual pseudo-randomly selected sunlit leaf in the upper canopy, targeting fully expanded leaves when possible, using hand-held instruments. Typically 6 sub-sample measurements were taken within a plot, 3 of which were taken in each of the West and East subplot rows.",NA,NA,NA,NA
Panicle height measurement,"Distance from soil to the top of the panicle (inflorescence) measured at the same time as canopy height. This is a visual estimate of the general top of panicles (vs top of the foliar canopy) for plots in which panicles had emerged, one estimate for each row of a 2-row plot.",NA,NA,NA,NA
Seedling number - Counting,Sorghum Crop Ontology Identifier CO_324:0000176 http://www.cropontology.org/terms/CO_324:0000176/Seedling%20number%20-%20Counting/static-html?language=english,NA,NA,NA,NA
Biomass oven drying,"After harvest, dry biomass in oven to constant weight. Then weigh the dry biomass and calculate moisture content and dry matter content as a fraction.",NA,NA,NA,NA
"Visual assessment of lodging at harvest on scale of 0, 1, or 2.",Rapid visual assessment at the time of harvest. Some of the lodging observed at harvest may have occurred during the time after irrigation was terminated to allow the ground to dry for harvest equipment access. ,NA,NA,NA,NA
MAC leaf width measurement,Use barcode scanning ruler to measure the widest part of the leaf.,NA,NA,NA,NA
MAC leaf length measurement,Measure from leaf tip to stem along the midrib.,NA,NA,NA,NA
Stalk diameter measurement,Stalk diameter measurements using calipers at middle of the stem internode immediately below the most recently fully emerged leaf.,"Newcomb, Maria",Maricopa Agricultural Center Field Measurements and Activities,2017,
Stereo RGB data to emergence count,,ZongyangLi,Maricopa Field Station Data and Metadata,2020,
Stem elongated internodes and basal tillers counts - visual repeat measures on marked plants,Multiple plants per plot were demarcated in the field early in the season using golf tees placed adjacent to the selected seedlings; numbers of leaves (internodes) were repeatedly counted on the same plant over time by permanently marking each new fully emerged leaf with the leaf number (1 = first leaf to develop) to capture temporal dynamics of growth. Numbers of tillers at each observation early in the season were also counted. Sorghum Crop Ontology Identifier CO_324:0000235 http://www.cropontology.org/terms/CO_324:0000235/Stem%20elongated%20internodes%20number/static-html?language=english; Basal tiller number was counted as the number of tillers with a fully emerged leaf. Sorghum Crop Ontology Identifier CO_324:0000344 http://www.cropontology.org/terms/CO_324:0000344/Plant%20basal%20tiller%20number%20-%20Counting/static-html?language=english,"Newcomb, Maria",Field measurements from Maricopa Agricultural Center,2016,
Leaf polyphenolics and chlorophyll measurements: Dualex Scientific+ leaf-clip handheld optical meter,"The optical leaf-clip meter (Dualex Scientific+) uses 5 LED light sources, including 1 UV-A, 1 read and 2 near-infrared (NIR) and a silicon photodiode detector to estimate chlorophyll content in leaves as well as flavonol and anthocyanin contents in the leaf epidermis.  Measurements were taken on sunlit leaves in the upper canopy.  Within each sampled plot, multiple subsample measurements were taken, each on different leaves, targeting fully developed sunlit leaves when possible. The instrument reports 5 measurements:  1) the temperature of the optical emitting head, 2) chlorophyll index (=(NIR trans. - Red trans.)/Red trans), 3) flavonol index (=Log(NIR fluo. excited red/NIR fluo. excited UV-A), 4) anthocyanin index (=Log(NIR fluo. excited red/NIR fluo. excited green), and 5) NBI (proprietary) nitrogen status, Chl/Flav ratio. ","Newcomb, Maria",Maricopa Agricultural Center Field Measurements and Activities,2017,
