germplasmName,germplasmPUI,season_4,season_6
PI506030,https://purl.org/germplasm/id/b366ee9f-1069-4da9-9121-af5d0b9885f7,TRUE,TRUE
PI651496,,TRUE,TRUE
PI329501,https://purl.org/germplasm/id/d47aab5a-0fc8-45cc-b08b-5a722c1291af,TRUE,TRUE
PI330803,https://purl.org/germplasm/id/0f84d6f6-5bf7-4a02-bbd4-90909333b543,TRUE,TRUE
PI563331,,TRUE,TRUE
PI329645,https://purl.org/germplasm/id/302be577-8b5c-4a47-94f6-c6ad316c174c,TRUE,TRUE
PI180348,https://purl.org/germplasm/id/53a31371-53b1-4f74-85be-979a7a7c3e06,TRUE,TRUE
PI655983,,TRUE,TRUE
PI641829,https://purl.org/germplasm/id/fbbbb382-2016-4d93-982f-ff2b6431930c,TRUE,TRUE
PI217691,https://purl.org/germplasm/id/8cb50770-22bd-4128-b00d-6c1ad75421c5,TRUE,TRUE
PI641836,,TRUE,TRUE
PI586541,https://purl.org/germplasm/id/e2ac2553-bab5-4475-ba09-b59f3fffb060,TRUE,TRUE
PI152591,https://purl.org/germplasm/id/ed6310a8-a1b9-4a94-b4d3-baf4fab9a69e,TRUE,TRUE
PI569447,https://purl.org/germplasm/id/7445385f-8d42-458c-9712-7c4047ebd6bd,TRUE,TRUE
PI330195,https://purl.org/germplasm/id/3854726c-2f17-45c6-8d98-58047b499831,TRUE,TRUE
PI641815,https://purl.org/germplasm/id/9d0d73ba-ecaa-4e1f-98e7-032986351218,TRUE,TRUE
PI152694,https://purl.org/germplasm/id/fe511f9b-5ecf-45ee-bc10-11b625dbdada,TRUE,TRUE
PI569427,https://purl.org/germplasm/id/1e0ba271-096d-49df-8b42-7957c1e98c27,TRUE,TRUE
PI152733,https://purl.org/germplasm/id/c229d5ea-332e-489b-91a6-528fab20a547,TRUE,TRUE
PI329310,https://purl.org/germplasm/id/ece4b2df-e6a9-4ef1-aa0b-41a51c7d84f0,TRUE,TRUE
PI505717,,TRUE,TRUE
PI576399,https://purl.org/germplasm/id/630b9e11-b113-4bfa-a137-77241145ab79,TRUE,TRUE
PI569444,,TRUE,TRUE
PI330858,https://purl.org/germplasm/id/f5af3b3c-ac14-4cf8-a576-f82d021fac0f,TRUE,TRUE
PI569422,https://purl.org/germplasm/id/e7a302b3-c755-4957-bab6-8b72befb1141,TRUE,TRUE
PI330833,https://purl.org/germplasm/id/447c5927-8ddd-4921-aeea-d7ab11a80bf1,TRUE,TRUE
PI329550,https://purl.org/germplasm/id/55135fd7-2b6a-4536-9a95-7b94abe5356e,TRUE,TRUE
PI641830,https://purl.org/germplasm/id/6af779e5-2734-407e-82d0-d28a49af1bce,TRUE,TRUE
PI651495,https://purl.org/germplasm/id/a070ff1e-0935-4953-b49b-e7dad62c2ef4,TRUE,TRUE
PI563196,https://purl.org/germplasm/id/82f3ee4c-6402-49fe-be5c-b18ed9fb94d6,TRUE,TRUE
PI569453,https://purl.org/germplasm/id/926c81d7-36bc-4e07-ad7e-4a7768d4e39c,TRUE,TRUE
PI156217,https://purl.org/germplasm/id/86e23f19-c08b-4fc4-8139-cf84c768fc24,TRUE,TRUE
PI656015,,TRUE,TRUE
PI156487,https://purl.org/germplasm/id/0efb451c-f3ae-4fec-b1ab-4cb03ab5d19a,TRUE,TRUE
PI330184,https://purl.org/germplasm/id/2156e045-fa7d-43c1-8a69-6dc6ca9d1e2c,TRUE,TRUE
PI329864,https://purl.org/germplasm/id/aa3964f3-b43e-46b2-ad8a-37ec6955e459,TRUE,TRUE
PI619807,https://purl.org/germplasm/id/f5e49050-1dd5-49c0-9d37-d189a7b820cd,TRUE,TRUE
PI453696,https://purl.org/germplasm/id/f500b312-6f76-42d3-9967-537c8259a890,TRUE,TRUE
PI585961,https://purl.org/germplasm/id/33134da8-d34f-4d69-8b8c-fa6a0be70e49,TRUE,TRUE
PI329256,https://purl.org/germplasm/id/bf389b63-6cfd-4a15-9412-ae8ef2d60eac,TRUE,TRUE
PI562982,https://purl.org/germplasm/id/82f3ee4c-6402-49fe-be5c-b18ed9fb94d6,TRUE,TRUE
PI570114,https://purl.org/germplasm/id/b5fdbd20-d5ea-4d55-8f7e-c057c2de2934,TRUE,TRUE
PI646251,https://purl.org/germplasm/id/c414d2f4-956f-441f-aa28-695aab1ab87f,TRUE,TRUE
PI585452,https://purl.org/germplasm/id/508a92cf-6c10-4053-b2e3-1a8a9534ee85,TRUE,TRUE
PI563295,,TRUE,TRUE
PI524475,https://purl.org/germplasm/id/b53a8046-3701-4bcd-a795-295f5e1d96ad,TRUE,TRUE
PI646266,https://purl.org/germplasm/id/b54c5855-ccfc-49f7-a7c2-bfc55b21ade7,TRUE,TRUE
PI152862,https://purl.org/germplasm/id/ce1b59c6-cf00-4445-b75c-37fbc4ddfa63,TRUE,TRUE
PI535792,https://purl.org/germplasm/id/51939d24-7874-497c-9b11-3e4f1a64587d,TRUE,TRUE
PI156890,https://purl.org/germplasm/id/fb8dfe8a-05e9-4e39-abdc-101e10f6c111,TRUE,TRUE
PI329569,https://purl.org/germplasm/id/e767f8c9-54fc-4173-acc0-da4296b30722,TRUE,NA
PI330182,https://purl.org/germplasm/id/0186cec6-d5c9-4cd1-8f21-9f9183d5b87a,TRUE,TRUE
PI569418,https://purl.org/germplasm/id/962f9ba6-849a-413a-bd25-1a251d5d7fca,TRUE,TRUE
SP1615,,TRUE,NA
PI152828,https://purl.org/germplasm/id/63c916b2-6777-47f6-8d3a-fd7f7fb26d7a,TRUE,TRUE
PI329466,https://purl.org/germplasm/id/9c9a13b9-c2b6-403e-8a17-d2b81d98ccd0,TRUE,TRUE
PI229841,,TRUE,TRUE
PI329644,https://purl.org/germplasm/id/cc130ca1-99cd-427b-ba9d-65814193e4da,TRUE,TRUE
PI655978,,TRUE,TRUE
PI563332,https://purl.org/germplasm/id/0cf04017-9df4-460b-a272-4449f227fde2,TRUE,TRUE
PI266927,https://purl.org/germplasm/id/fe56bb55-d3a1-49d1-b0b0-0e416af33813,TRUE,TRUE
PI506122,,TRUE,TRUE
PI155760,https://purl.org/germplasm/id/57b50b10-514a-4967-9823-d13c4c3a8a8a,TRUE,TRUE
PI535783,https://purl.org/germplasm/id/4963b150-6cd5-4eaf-9b36-f634d377888a,TRUE,NA
PI526905,https://purl.org/germplasm/id/3b678fe0-381a-4795-8417-93ec57af1269,TRUE,TRUE
PI542718,https://purl.org/germplasm/id/476a7bc3-fb0a-4d8f-b4d7-45cdef06bf83,TRUE,NA
PI562971,https://purl.org/germplasm/id/ed4918f6-243a-49e3-8d12-79f63f4bdf1f,TRUE,TRUE
PI145619,https://purl.org/germplasm/id/abe6a08f-a3aa-4b3e-a99d-b359d25895bd,TRUE,TRUE
PI569416,https://purl.org/germplasm/id/ac3ae692-7777-4f40-899c-bd48ca2138c5,TRUE,NA
PI297155,,TRUE,TRUE
PI563355,https://purl.org/germplasm/id/dc2f7250-f1db-40ce-8e09-c4833a14aee3,TRUE,TRUE
PI255239,,TRUE,TRUE
PI157035,https://purl.org/germplasm/id/381baf8e-95f9-4693-8d79-e0bb2867aa19,TRUE,TRUE
PI569423,https://purl.org/germplasm/id/48cc2c1e-9f02-4a78-8a38-38ab3ed403b5,TRUE,TRUE
PI152751,https://purl.org/germplasm/id/d8a91d35-025d-42a1-baed-b6a1b0a297e9,TRUE,NA
PI570145,https://purl.org/germplasm/id/cb914303-77d2-4917-bc9d-da44277281fb,TRUE,TRUE
PI643008,https://purl.org/germplasm/id/029bd493-c3fe-4f6f-9ef7-13e152eb965e,TRUE,TRUE
PI534165,https://purl.org/germplasm/id/e71176c1-3f31-4f43-a93d-98ed9713239f,TRUE,TRUE
PI506114,,TRUE,TRUE
PI156326,https://purl.org/germplasm/id/72876e91-91cd-4971-83d8-a2bc022ec83d,TRUE,TRUE
PI144134,https://purl.org/germplasm/id/025567e3-5e53-4c24-987c-f161e5f294e8,TRUE,TRUE
PI562991,https://purl.org/germplasm/id/247637f0-b7dd-4f02-a0e0-39a7c55c453b,TRUE,TRUE
Big_Kahuna,,TRUE,NA
PI585461,https://purl.org/germplasm/id/ad526925-f6c9-46f5-99b5-03e514293b33,TRUE,TRUE
PI329471,https://purl.org/germplasm/id/28f61bbc-f7a9-4e8b-9489-0f908757ce79,TRUE,TRUE
PI569097,https://purl.org/germplasm/id/d3738d12-56af-4426-8963-63215065eb0b,TRUE,TRUE
PI303658,https://purl.org/germplasm/id/6053ada7-471b-4dbb-b4b0-99d3bfc55bd6,TRUE,TRUE
PI563006,,TRUE,TRUE
PI329403,https://purl.org/germplasm/id/3a3f315f-65e6-451f-be5d-0b0842e33ad3,TRUE,TRUE
PI593916,https://purl.org/germplasm/id/e0e828f3-d623-49f6-a656-68ff40d9e9c3,TRUE,TRUE
PI570087,https://purl.org/germplasm/id/8d88e812-3249-4a97-89fb-4b0a0a6327be,TRUE,TRUE
PI619838,https://purl.org/germplasm/id/d2d19894-2399-4335-979d-73f20e0ecde8,TRUE,TRUE
PI157030,https://purl.org/germplasm/id/bfd7cf43-7311-4a8d-88d4-a1c46ef72f49,TRUE,TRUE
PI52606,https://purl.org/germplasm/id/3e5cfd4d-79f6-43ce-bedd-aa3a63723976,TRUE,TRUE
PI569452,,TRUE,TRUE
PI641807,,TRUE,TRUE
PI642998,,TRUE,TRUE
PI19770,https://purl.org/germplasm/id/b58e8a7f-ff95-4709-aa95-c3e79f7ff039,TRUE,TRUE
PI563329,https://purl.org/germplasm/id/3c9027b2-8bb6-4589-b8d1-74149324543b,TRUE,TRUE
PI568717,https://purl.org/germplasm/id/756d137d-e889-47b8-8b3d-484c395a721b,TRUE,NA
PI152727,https://purl.org/germplasm/id/275382a9-4dba-4af1-9be1-512743801917,TRUE,TRUE
PI257600,https://purl.org/germplasm/id/74d5abd1-2cf1-441d-9b7d-fdc119e0aff1,TRUE,TRUE
PI330185,https://purl.org/germplasm/id/11a9a8c7-694c-423e-add8-40e4d8a16c1c,TRUE,TRUE
PI569445,https://purl.org/germplasm/id/36232bbc-3691-4dfd-b439-05ed39b721b1,TRUE,TRUE
PI196583,https://purl.org/germplasm/id/d4cadbae-e71b-4dc9-bd7e-4c2e13b09757,TRUE,TRUE
PI641850,https://purl.org/germplasm/id/6402479f-541f-4fbd-a06f-df17bd5a347d,TRUE,TRUE
PI329301,https://purl.org/germplasm/id/6053ded9-69e1-4509-9295-b7cdbcac93ea,TRUE,TRUE
PI573193,https://purl.org/germplasm/id/e94deb10-bbf1-4e1b-b0f4-841257ca056d,TRUE,TRUE
PI167093,https://purl.org/germplasm/id/0576b2d1-9127-41b6-9995-ee61cbfa4cdc,TRUE,TRUE
PI176766,https://purl.org/germplasm/id/e571e807-bf93-4e84-a62f-93596c6da786,TRUE,TRUE
PI329326,https://purl.org/germplasm/id/d00c0c30-7124-48f4-8e79-02638501f527,TRUE,TRUE
PI330168,https://purl.org/germplasm/id/9d07e74e-b99c-4245-b72e-b2c377e35bba,TRUE,NA
PI329394,https://purl.org/germplasm/id/61f7b121-10d4-40b1-b001-a7bad794fbc5,TRUE,TRUE
PI585577,https://purl.org/germplasm/id/0a32f153-53fd-4bd4-a636-aa2e456751ae,TRUE,TRUE
PI561840,,TRUE,TRUE
PI586435,https://purl.org/germplasm/id/83ca3458-f3f8-441b-88f3-f7209956f10d,TRUE,TRUE
PI585406,https://purl.org/germplasm/id/37019ec0-c054-4ed5-b0e5-76eaaec9c16a,TRUE,TRUE
PI152971,https://purl.org/germplasm/id/6f1a6b14-3f9a-40c2-a1f1-c1eabe9e405f,TRUE,TRUE
PI562997,https://purl.org/germplasm/id/dc2f7250-f1db-40ce-8e09-c4833a14aee3,TRUE,TRUE
PI156330,https://purl.org/germplasm/id/01969831-1d18-44bf-aea1-6930b725b5b6,TRUE,TRUE
PI156871,https://purl.org/germplasm/id/12c8def5-6c70-4e9b-8fcc-39af244c9da7,TRUE,TRUE
PI330181,https://purl.org/germplasm/id/aca0ed54-2467-429a-89b4-daee951e995f,TRUE,TRUE
PI63715,https://purl.org/germplasm/id/c414d2f4-956f-441f-aa28-695aab1ab87f,TRUE,TRUE
PI570073,https://purl.org/germplasm/id/e6ab794d-f6a0-422e-976f-0e868d8d26dc,TRUE,TRUE
PI302252,https://purl.org/germplasm/id/45e19efe-44e4-430f-8864-8805a74b1dcd,TRUE,TRUE
PI570038,https://purl.org/germplasm/id/0f53fa04-e19a-4f36-ba30-b6fc369a2b94,TRUE,TRUE
PI653616,https://purl.org/germplasm/id/9450768f-3927-445b-878c-026709a3b103,TRUE,TRUE
PI569244,https://purl.org/germplasm/id/0017a7f9-bc2d-48e9-a5f8-299a9b61eef1,TRUE,TRUE
PI221651,https://purl.org/germplasm/id/1b4ac98c-4308-4a1e-8a48-8a94b1a7dc60,TRUE,TRUE
PI337680,https://purl.org/germplasm/id/abc600d5-a294-496a-ad35-fa0640d9af11,TRUE,TRUE
PI562990,https://purl.org/germplasm/id/0cf04017-9df4-460b-a272-4449f227fde2,TRUE,TRUE
PI570373,https://purl.org/germplasm/id/8e40e1e3-228b-4a22-b7b7-3eff781303ea,TRUE,TRUE
PI297171,,TRUE,TRUE
PI569090,,TRUE,TRUE
PI569425,https://purl.org/germplasm/id/5ad032a1-4c8a-490f-ba55-87bd94befe82,TRUE,NA
PI329585,https://purl.org/germplasm/id/8b07041c-9932-494b-90aa-a5be1d29f0f9,TRUE,TRUE
PI564163,https://purl.org/germplasm/id/0ba28636-e634-428a-aa58-4346a20de326,TRUE,TRUE
PI641860,https://purl.org/germplasm/id/2c933874-ac10-4e79-be7e-6fae1ea74150,TRUE,TRUE
PI145633,https://purl.org/germplasm/id/943bbef8-a81f-4dc2-8d09-dc249a9df85f,TRUE,TRUE
PI525049,https://purl.org/germplasm/id/269ead3e-0e6c-471a-b84e-6e05ea1ae4b0,TRUE,TRUE
PI329570,https://purl.org/germplasm/id/1e1fface-d201-4817-b166-0899d282f664,TRUE,TRUE
PI251672,https://purl.org/germplasm/id/7e53a96a-1176-4d5e-b16d-19ac246712f4,TRUE,TRUE
PI152816,https://purl.org/germplasm/id/d9f1a570-7348-4df0-b56c-dd8a0d139091,TRUE,TRUE
PI329480,https://purl.org/germplasm/id/d08e56ba-f757-4ee9-b30a-57e4014ca257,TRUE,TRUE
PI22913,,TRUE,TRUE
PI35038,,TRUE,TRUE
PI276837,https://purl.org/germplasm/id/eb2b9f36-b36d-4956-be79-9f93d426407d,TRUE,TRUE
PI452542,https://purl.org/germplasm/id/79483e1c-c2e2-471d-82cf-5ee371471f4a,TRUE,TRUE
PI570085,https://purl.org/germplasm/id/3c3ad6dc-1791-4e2e-bc61-e25964713e5e,TRUE,TRUE
PI92270,,TRUE,TRUE
PI157804,https://purl.org/germplasm/id/c7928765-0fb2-467c-a570-cf8ca2236365,TRUE,TRUE
PI620072,https://purl.org/germplasm/id/6fc40ec5-74cb-4b7b-bbdf-1ead75e781bf,TRUE,TRUE
PI152923,https://purl.org/germplasm/id/3f223f79-9c35-4691-8c26-603e8e9aac79,TRUE,TRUE
PI329473,,TRUE,TRUE
PI563338,https://purl.org/germplasm/id/247637f0-b7dd-4f02-a0e0-39a7c55c453b,TRUE,TRUE
PI506069,,TRUE,TRUE
PI527045,https://purl.org/germplasm/id/e05f7796-5ebb-4016-9f11-1c9da22858e2,TRUE,TRUE
PI569460,https://purl.org/germplasm/id/f342e812-feb1-43ea-ad79-1545916e75ce,TRUE,TRUE
PI651497,https://purl.org/germplasm/id/0ee39d00-1104-4c72-b9f7-45d7433bb03b,TRUE,TRUE
PI273969,https://purl.org/germplasm/id/11be6869-cc98-4f3c-8080-abae53714633,TRUE,TRUE
PI570431,https://purl.org/germplasm/id/83ca3458-f3f8-441b-88f3-f7209956f10d,TRUE,TRUE
PI218112,https://purl.org/germplasm/id/dc9854e7-cbc4-4783-8bb1-03d46528c155,TRUE,TRUE
PI505722,,TRUE,TRUE
PI585454,https://purl.org/germplasm/id/6fc40ec5-74cb-4b7b-bbdf-1ead75e781bf,TRUE,TRUE
PI181080,https://purl.org/germplasm/id/4783541e-981c-47b0-a335-9e42248e52ac,TRUE,NA
PI329646,https://purl.org/germplasm/id/5587442b-b6b7-46cd-87f7-09868abbb839,TRUE,TRUE
PI511355,https://purl.org/germplasm/id/3a488a5a-5a5e-4041-84dc-efcdaa3194e2,TRUE,TRUE
PI196598,https://purl.org/germplasm/id/7f557954-11b7-4f7c-9b82-6c7219953cb3,TRUE,TRUE
PI505735,,TRUE,TRUE
PI329843,https://purl.org/germplasm/id/f71b57ea-6068-4f1a-84b9-8ea3edcbb805,TRUE,TRUE
PI514456,https://purl.org/germplasm/id/8bba5714-4bdb-43fe-91af-88e12cd7e980,TRUE,TRUE
PI570106,https://purl.org/germplasm/id/37019ec0-c054-4ed5-b0e5-76eaaec9c16a,TRUE,TRUE
PI535794,https://purl.org/germplasm/id/bff0afb3-3368-4140-810d-9c5af9fa16bf,TRUE,TRUE
PI521280,https://purl.org/germplasm/id/0c49e96b-9351-4395-ac22-7f3d3168b596,TRUE,TRUE
PI513898,https://purl.org/germplasm/id/3e5cfd4d-79f6-43ce-bedd-aa3a63723976,TRUE,TRUE
PI152961,https://purl.org/germplasm/id/54237f11-e2f1-4d25-8535-dfda7ee05c6d,TRUE,TRUE
Unknown off type,,TRUE,NA
PI329510,https://purl.org/germplasm/id/8b4fefb6-a410-4a84-b6ed-188980143536,TRUE,TRUE
PI329605,https://purl.org/germplasm/id/4e70bc85-3bfa-4668-8698-d4e8db3e62b9,TRUE,TRUE
PI253986,https://purl.org/germplasm/id/0b98578a-6dd3-4f97-a3e3-1312fa314ac6,TRUE,NA
PI156178,https://purl.org/germplasm/id/d1603bcf-aadd-436f-bdd8-a50975f0d5bc,TRUE,TRUE
PI455221,,TRUE,TRUE
PI641817,https://purl.org/germplasm/id/518f1a4d-4978-4319-802b-c6ce7ea517b2,TRUE,TRUE
PI175919,https://purl.org/germplasm/id/4783541e-981c-47b0-a335-9e42248e52ac,TRUE,TRUE
PI533902,https://purl.org/germplasm/id/b53a8046-3701-4bcd-a795-295f5e1d96ad,TRUE,TRUE
PI329632,,TRUE,TRUE
PI563021,https://purl.org/germplasm/id/0017a7f9-bc2d-48e9-a5f8-299a9b61eef1,TRUE,TRUE
PI569465,https://purl.org/germplasm/id/0750e3f1-7eb1-4e6d-83fa-898c535881b9,TRUE,TRUE
PI329435,https://purl.org/germplasm/id/e16c3914-70f7-4a98-aff8-6e0a81ba97dd,TRUE,TRUE
PI510757,,TRUE,TRUE
PI550604,https://purl.org/germplasm/id/78d55afa-9f83-49a6-8388-690099b9ef8e,TRUE,NA
PI152730,,TRUE,TRUE
PI156463,https://purl.org/germplasm/id/ba636332-9edf-4976-9bca-02dab2805d71,TRUE,TRUE
PI570091,https://purl.org/germplasm/id/6bf2d2e7-8806-4721-b603-9973b999ff13,TRUE,TRUE
PI585966,https://purl.org/germplasm/id/c19163c9-9d31-4688-a27b-d4cc1e4829b6,TRUE,TRUE
PI329465,https://purl.org/germplasm/id/9f3069c1-f3a3-4da8-aa75-7c1bfb33b3ba,TRUE,TRUE
PI181083,https://purl.org/germplasm/id/e571e807-bf93-4e84-a62f-93596c6da786,TRUE,NA
PI297130,,TRUE,TRUE
PI643016,https://purl.org/germplasm/id/a0ff5954-fa0b-4e3c-8582-37594934bf0a,TRUE,TRUE
PI521152,https://purl.org/germplasm/id/41e84198-6870-4651-acc7-30c7d60fa5f9,TRUE,TRUE
PI585608,https://purl.org/germplasm/id/98b6133c-76f9-46ae-a6e1-e49f96a99d65,TRUE,TRUE
PI641821,https://purl.org/germplasm/id/8e49cb00-205d-48a1-9735-7fd74fb7f062,TRUE,TRUE
PI329865,https://purl.org/germplasm/id/cca907d6-5aca-482d-9434-0b624e7dab82,TRUE,TRUE
PI655981,,TRUE,NA
PI154944,https://purl.org/germplasm/id/6f1bdfe7-3341-41d4-b8f4-cfd4cbd9388a,TRUE,TRUE
PI329584,https://purl.org/germplasm/id/ebc8df26-ec47-4c9e-93f2-b6fb6a22116c,TRUE,TRUE
PI154846,https://purl.org/germplasm/id/c87513c1-fccb-4560-bd8d-c65c2f4a548a,TRUE,TRUE
PI152966,https://purl.org/germplasm/id/4dc011d4-ad02-40e1-865f-a2915c9eb9c6,TRUE,TRUE
PI569443,https://purl.org/germplasm/id/7a21d9de-c0fa-4e7d-8a76-1b2bb450d5c2,TRUE,TRUE
PI337689,https://purl.org/germplasm/id/254723e9-69be-49dc-8bf8-e0f3c94a21fc,TRUE,TRUE
PI586443,,TRUE,NA
PI152965,https://purl.org/germplasm/id/fd1f6766-227d-4f44-9068-466b209794c5,TRUE,TRUE
PI255744,https://purl.org/germplasm/id/a07d78c3-5d39-4466-abbf-aee01f7d2ed4,TRUE,NA
PI563032,https://purl.org/germplasm/id/4a014b39-ee29-4d19-889f-66ca2a76244a,TRUE,TRUE
PI329518,https://purl.org/germplasm/id/ca57a9d0-85e8-4704-b618-ed0386d9e865,TRUE,TRUE
PI651491,https://purl.org/germplasm/id/0ed1e59c-a819-46bd-bb0b-60e4d3c7464e,TRUE,TRUE
PI562970,https://purl.org/germplasm/id/9dae9cfa-1492-402b-af0e-ca1da9472603,TRUE,TRUE
PI620157,https://purl.org/germplasm/id/ad526925-f6c9-46f5-99b5-03e514293b33,TRUE,TRUE
PI533998,https://purl.org/germplasm/id/f966880c-67cd-4794-baf4-67defd9efc29,TRUE,TRUE
PI330796,https://purl.org/germplasm/id/0ff23ea5-344e-4f76-806a-de2a35025e97,TRUE,TRUE
PI569264,https://purl.org/germplasm/id/9c830d04-2c35-40c7-8350-f713629b7c6c,TRUE,TRUE
PI152728,https://purl.org/germplasm/id/9bd09d68-dd08-475e-b9e7-40aaac889f9b,TRUE,NA
PI154750,,TRUE,TRUE
PI540518,https://purl.org/germplasm/id/a1c4570c-d118-4c18-b7a0-32ada6a9355c,TRUE,TRUE
PI570074,https://purl.org/germplasm/id/b7ae60ce-959a-4aa1-b300-daa14d720d5e,TRUE,TRUE
PI563350,https://purl.org/germplasm/id/b0fb9c81-fbed-4141-a1ba-282a35561bcc,TRUE,TRUE
PI563330,,TRUE,TRUE
PI329665,,TRUE,TRUE
PI641892,https://purl.org/germplasm/id/e1c71429-85dc-4219-a3ce-18a082304325,TRUE,TRUE
PI330807,,TRUE,TRUE
PI570090,https://purl.org/germplasm/id/630b9e11-b113-4bfa-a137-77241145ab79,TRUE,TRUE
PI656026,,TRUE,TRUE
PI641909,https://purl.org/germplasm/id/d2d19894-2399-4335-979d-73f20e0ecde8,TRUE,TRUE
PI566819,https://purl.org/germplasm/id/e5c9836e-ac55-473f-984e-9fac69e10553,TRUE,TRUE
PI267573,https://purl.org/germplasm/id/04d855a8-ff1c-4998-956f-9cc4d75e3e62,TRUE,TRUE
PI329519,https://purl.org/germplasm/id/90e7d930-6526-4ef5-831f-fae4208d2e90,TRUE,TRUE
PI329506,https://purl.org/germplasm/id/8cca5acb-496d-480d-b2b9-073e401134a2,TRUE,TRUE
PI153877,https://purl.org/germplasm/id/b12c6a7c-9913-4b7e-b539-4ebae71e6021,TRUE,TRUE
PI273465,,TRUE,TRUE
PI534120,https://purl.org/germplasm/id/e05f7796-5ebb-4016-9f11-1c9da22858e2,TRUE,TRUE
